pmid	title	pubYear	authorString	firstAuthor	citedByCount	journalTitle	isOpenAccess	RetractedIn	minPubDate	minRetDate	monthsToRet
10514006	Uncoupling IL-2 signals that regulate T cell proliferation, survival, and Fas-mediated activation-induced cell death.	1999	Van Parijs L, Refaeli Y, Lord JD, Nelson BH, Abbas AK, Baltimore D.	Van Parijs L	197	Immunity		19382300	08-10-1999	22-04-2009	116
16899777	A genomic strategy to refine prognosis in early-stage non-small-cell lung cancer.	2006	Potti A, Mukherjee S, Petersen R, Dressman HK, Bild A, Koontz J, Kratzke R, Watson MA, Kelley M, Ginsburg GS, West M, Harpole DH Jr, Nevins JR.	Potti A	197	N Engl J Med		21366430	11-08-2006	04-03-2011	56
12480817	Novel role of gp91(phox)-containing NAD(P)H oxidase in vascular endothelial growth factor-induced signaling and angiogenesis.	2002	Ushio-Fukai M, Tang Y, Fukai T, Dikalov SI, Ma Y, Fujimoto M, Quinn MT, Pagano PJ, Johnson C, Alexander RW.	Ushio-Fukai M	189	Circ Res		24368830	14-12-2002	26-12-2013	134
11546864	Structure of MsbA from E. coli: a homolog of the multidrug resistance ATP binding cassette (ABC) transporters.	2001	Chang G, Roth CB.	Chang G	185	Science		17185584	08-09-2001	23-12-2006	64
14963337	Evidence of a pluripotent human embryonic stem cell line derived from a cloned blastocyst.	2004	Hwang WS, Ryu YJ, Park JH, Park ES, Lee EG, Koo JM, Jeon HY, Lee BC, Kang SK, Kim SJ, Ahn C, Hwang JH, Park KY, Cibelli JB, Moon SY.	Hwang WS	185	Science		16410485	14-02-2004	18-01-2006	23
17435748	DEAD-box RNA helicase subunits of the Drosha complex are required for processing of rRNA and a subset of microRNAs.	2007	Fukuda T, Yamagata K, Fujiyama S, Matsumoto T, Koshida I, Yoshimura K, Mihara M, Naitou M, Endoh H, Nakamura T, Akimoto C, Yamamoto Y, Katagiri T, Foulds C, Takezawa S, Kitagawa H, Takeyama K, O'Malley BW, Kato S.	Fukuda T	181	Nat Cell Biol		25358354	17-04-2007	01-11-2014	92
19483719	Interleukin 17 acts in synergy with B cell-activating factor to influence B cell biology and the pathophysiology of systemic lupus erythematosus.	2009	Doreau A, Belot A, Bastid J, Riche B, Trescol-Biemont MC, Ranchin B, Fabien N, Cochat P, Pouteil-Noble C, Trolliet P, Durieu I, Tebib J, Kassai B, Ansieau S, Puisieux A, Eliaou JF, Bonnefoy-BÌ©rard N.	Doreau A	180	Nat Immunol		25137474	02-06-2009	20-08-2014	64
20655472	SIRT1 suppresses beta-amyloid production by activating the alpha-secretase gene ADAM10.	2010	Donmez G, Wang D, Cohen DE, Guarente L.	Donmez G	179	Cell	N	25275164	27-07-2010	03-10-2014	51
17952062	A histone lysine methyltransferase activated by non-canonical Wnt signalling suppresses PPAR-gamma transactivation.	2007	Takada I, Mihara M, Suzawa M, Ohtake F, Kobayashi S, Igarashi M, Youn MY, Takeyama K, Nakamura T, Mezaki Y, Takezawa S, Yogiashi Y, Kitagawa H, Yamada G, Takada S, Minami Y, Shibuya H, Matsumoto K, Kato S.	Takada I	174	Nat Cell Biol		25358353	24-10-2007	01-11-2014	86
11547793	ACOG Practice Bulletin. Clinical management guidelines for obstetrician-gynecologists. Number 30, September 2001 (replaces Technical Bulletin Number 200, December 1994). Gestational diabetes.	2001	American College of Obstetricians and Gynecologists Committee on Practice Bulletins--Obstetrics.	American College of Obstetricians and Gynecologists Committee on Practice Bulletins--Obstetrics.	171	Obstet Gynecol		23969826	08-09-2001	24-08-2013	146
9703501	BRCA1 required for transcription-coupled repair of oxidative DNA damage.	1998	Gowen LC, Avrutskaya AV, Latour AM, Koller BH, Leadon SA.	Gowen LC	169	Science		12805518	14-08-1998	14-06-2003	59
12351674	Contribution of human alpha-defensin 1, 2, and 3 to the anti-HIV-1 activity of CD8 antiviral factor.	2002	Zhang L, Yu W, He T, Yu J, Caffrey RE, Dalmasso EA, Fu S, Pham T, Mei J, Ho JJ, Zhang W, Lopez P, Ho DD.	Zhang L	169	Science		14739439	28-09-2002	24-01-2004	16
19805305	XMRV is present in malignant prostatic epithelium and is associated with prostate cancer, especially high-grade tumors.	2009	Schlaberg R, Choe DJ, Brown KR, Thaker HM, Singh IR.	Schlaberg R	166	Proc Natl Acad Sci U S A	N	25114258	07-10-2009	13-08-2014	59
12652308	Ku70 suppresses the apoptotic translocation of Bax to mitochondria.	2003	Sawada M, Sun W, Hayes P, Leskov K, Boothman DA, Matsuyama S.	Sawada M	154	Nat Cell Biol		17401390	26-03-2003	03-04-2007	49
12397363	Histone methylation by the Drosophila epigenetic transcriptional regulator Ash1.	2002	Beisel C, Imhof A, Greene J, Kremmer E, Sauer F.	Beisel C	152	Nature		25874679	25-10-2002	16-04-2015	152
12676581	Ras modulates Myc activity to repress thrombospondin-1 expression and increase tumor angiogenesis.	2003	Watnick RS, Cheng YN, Rangarajan A, Ince TA, Weinberg RA.	Watnick RS	149	Cancer Cell		23447819	05-04-2003	01-03-2013	121
12869699	Hairpin RNAs and retrotransposon LTRs effect RNAi and chromatin-based gene silencing.	2003	Schramke V, Allshire R.	Schramke V	149	Science		16210516	19-07-2003	08-10-2005	27
15311210	Induction of DNA methylation and gene silencing by short interfering RNAs in human cells.	2004	Kawasaki H, Taira K.	Kawasaki H	147	Nature		16810259	18-08-2004	01-07-2006	23
17715156	The muscle-specific microRNAs miR-1 and miR-133 produce opposing effects on apoptosis by targeting HSP60, HSP70 and caspase-9 in cardiomyocytes.	2007	Xu C, Lu Y, Pan Z, Chu W, Luo X, Lin H, Xiao J, Shan H, Wang Z, Yang B.	Xu C	146	J Cell Sci		21914820	24-08-2007	15-09-2011	49
10409727	Purification and identification of p68 RNA helicase acting as a transcriptional coactivator specific for the activation function 1 of human estrogen receptor alpha.	1999	Endoh H, Maruyama K, Masuhiro Y, Kobayashi Y, Goto M, Tai H, Yanagisawa J, Metzger D, Hashimoto S, Kato S.	Endoh H	139	Mol Cell Biol	N	24509260	20-07-1999	11-02-2014	177
10839528	Non-thermal heat-shock response to microwaves.	2000	de Pomerai D, Daniells C, David H, Allan J, Duce I, Mutwakil M, Thomas D, Sewell P, Tattersall J, Jones D, Candido P.	de Pomerai D	137	Nature		16554801	06-06-2000	24-03-2006	71
11165366	Characterization of a transformed rat retinal ganglion cell line.	2001	Krishnamoorthy RR, Agarwal P, Prasanna G, Vopat K, Lambert W, Sheedlo HJ, Pang IH, Shade D, Wordinger RJ, Yorio T, Clark AF, Agarwal N.	Krishnamoorthy RR	135	Brain Res Mol Brain Res		24316244	13-02-2001	10-12-2013	156
2714889	A derivative of staurosporine (CGP 41 251) shows selectivity for protein kinase C inhibition and in vitro anti-proliferative as well as in vivo anti-tumor activity.	1989	Meyer T, Regenass U, Fabbro D, Alteri E, RÌ_sel J, MÌ_ller M, Caravatti G, Matter A.	Meyer T	132	Int J Cancer		10336343	15-05-1989	21-05-1999	122
10707089	Calmodulin kinase determines calcium-dependent facilitation of L-type calcium channels.	2000	Dzhura I, Wu Y, Colbran RJ, Balser JR, Anderson ME.	Dzhura I	131	Nat Cell Biol		25812523	09-03-2000	28-03-2015	183
11100731	Remission in models of type 1 diabetes by gene therapy using a single-chain insulin analogue.	2000	Lee HC, Kim SJ, Kim KS, Shin HC, Yoon JW.	Lee HC	130	Nature		19340080	02-12-2000	03-04-2009	101
12415108	Estrogen receptor-interacting protein that modulates its nongenomic activity-crosstalk with Src/Erk phosphorylation cascade.	2002	Wong CW, McNally C, Nickbarg E, Komm BS, Cheskis BJ.	Wong CW	129	Proc Natl Acad Sci U S A	N	19666546	05-11-2002	12-08-2009	82
12612585	Mutations in CLCN2 encoding a voltage-gated chloride channel are associated with idiopathic generalized epilepsies.	2003	Haug K, Warnstedt M, Alekov AK, Sander T, RamÌ_rez A, Poser B, Maljevic S, Hebeisen S, Kubisch C, Rebstock J, Horvath S, Hallmann K, Dullinger JS, Rau B, Haverkamp F, Beyenburg S, Schulz H, Janz D, Giese B, MÌ_ller-Newen G, Propping P, Elger CE, Fahlke C, Lerche H, Heils A.	Haug K	128	Nat Genet		19710717	04-03-2003	28-08-2009	79
9020084	Defective transcription-coupled repair of oxidative base damage in Cockayne syndrome patients from XP group G.	1997	Cooper PK, Nouspikel T, Clarkson SG, Leadon SA.	Cooper PK	127	Science		15961651	14-02-1997	18-06-2005	102
21816272	Directed conversion of Alzheimer's disease patient skin fibroblasts into functional neurons.	2011	Qiang L, Fujita R, Yamashita T, Angulo S, Rhinn H, Rhee D, Doege C, Chau L, Aubry L, Vanti WB, Moreno H, Abeliovich A.	Qiang L	127	Cell	N	24843893	06-08-2011	21-05-2014	34
12598905	Cytokines suppress adipogenesis and PPAR-gamma function through the TAK1/TAB1/NIK cascade.	2003	Suzawa M, Takada I, Yanagisawa J, Ohtake F, Ogawa S, Yamauchi T, Kadowaki T, Takeuchi Y, Shibuya H, Gotoh Y, Matsumoto K, Kato S.	Suzawa M	126	Nat Cell Biol		25358355	25-02-2003	01-11-2014	142
19506243	The cytokine interleukin-33 mediates anaphylactic shock.	2009	Pushparaj PN, Tay HK, H'ng SC, Pitman N, Xu D, McKenzie A, Liew FY, Melendez AJ.	Pushparaj PN	126	Proc Natl Acad Sci U S A	N	22891328	10-06-2009	15-08-2012	39
10786832	Transcription-coupled repair of 8-oxoguanine: requirement for XPG, TFIIH, and CSB and implications for Cockayne syndrome.	2000	Le Page F, Kwoh EE, Avrutskaya A, Gentil A, Leadon SA, Sarasin A, Cooper PK.	Le Page F	125	Cell		16329169	29-04-2000	06-12-2005	68
18182456	Postmenopausal women with a history of irregular menses and elevated androgen measurements at high risk for worsening cardiovascular event-free survival: results from the National Institutes of Health--National Heart, Lung, and Blood Institute sponsored Women's Ischemia Syndrome Evaluation.	2008	Shaw LJ, Bairey Merz CN, Azziz R, Stanczyk FZ, Sopko G, Braunstein GD, Kelsey SF, Kip KE, Cooper-Dehoff RM, Johnson BD, Vaccarino V, Reis SE, Bittner V, Hodgson TK, Rogers W, Pepine CJ.	Shaw LJ	124	J Clin Endocrinol Metab	N	25701302	10-01-2008	22-02-2015	87
2124237	Anti-IL-6 monoclonal antibodies protect against lethal Escherichia coli infection and lethal tumor necrosis factor-alpha challenge in mice.	1990	Starnes HF Jr, Pearce MK, Tewari A, Yim JH, Zou JC, Abrams JS.	Starnes HF Jr	123	J Immunol		1541834	15-12-1990	15-03-1992	15
17588946	The human angiotensin II type 1 receptor +1166 A/C polymorphism attenuates microRNA-155 binding.	2007	Martin MM, Buckenberger JA, Jiang J, Malana GE, Nuovo GJ, Chotani M, Feldman DS, Schmittgen TD, Elton TS.	Martin MM	121	J Biol Chem	N	23690059	26-06-2007	22-05-2013	72
15218149	Computational design of a biologically active enzyme.	2004	Dwyer MA, Looger LL, Hellinga HW.	Dwyer MA	119	Science		18239106	26-06-2004	02-02-2008	44
17467513	Valsartan in a Japanese population with hypertension and other cardiovascular disease (Jikei Heart Study): a randomised, open-label, blinded endpoint morbidity-mortality study.	2007	Mochizuki S, DahlÌ_f B, Shimizu M, Ikewaki K, Yoshikawa M, Taniguchi I, Ohta M, Yamada T, Ogawa K, Kanae K, Kawai M, Seki S, Okazaki F, Taniguchi M, Yoshida S, Tajima N, Jikei Heart Study group.	Mochizuki S	119	Lancet		24012258	01-05-2007	10-09-2013	77
19854141	Maturation of microRNA is hormonally regulated by a nuclear receptor.	2009	Yamagata K, Fujiyama S, Ito S, Ueda T, Murata T, Naitou M, Takeyama K, Minami Y, O'Malley BW, Kato S.	Yamagata K	117	Mol Cell		24932469	27-10-2009	17-06-2014	56
15905366	Patient-specific embryonic stem cells derived from human SCNT blastocysts.	2005	Hwang WS, Roh SI, Lee BC, Kang SK, Kwon DK, Kim S, Kim SJ, Park SW, Kwon HS, Lee CK, Lee JB, Kim JM, Ahn C, Paek SH, Chang SS, Koo JJ, Yoon HS, Hwang JH, Hwang YY, Park YS, Oh SK, Kim HS, Park JH, Moon SY, Schatten G.	Hwang WS	114	Science		16410485	21-05-2005	18-01-2006	8
11250900	A subfamily of RNA-binding DEAD-box proteins acts as an estrogen receptor alpha coactivator through the N-terminal activation domain (AF-1) with an RNA coactivator, SRA.	2001	Watanabe M, Yanagisawa J, Kitagawa H, Takeyama  K, Ogawa S, Arao Y, Suzawa M, Kobayashi Y, Yano T, Yoshikawa H, Masuhiro Y, Kato S.	Watanabe M	113	EMBO J	N	25452582	17-03-2001	03-12-2014	167
16421562	The RNA-binding protein FCA is an abscisic acid receptor.	2006	Razem FA, El-Kereamy A, Abrams SR, Hill RD.	Razem FA	113	Nature		19079059	20-01-2006	17-12-2008	35
17290060	An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer.	2007	Dressman HK, Berchuck A, Chan G, Zhai J, Bild A, Sayer R, Cragun J, Clarke J, Whitaker RS, Li L, Gray J, Marks J, Ginsburg GS, Potti A, West M, Nevins JR, Lancaster JM.	Dressman HK	113	J Clin Oncol		22451975	10-02-2007	28-03-2012	62
7574222	Changes in energy balance and body composition at menopause: a controlled longitudinal study.	1995	Poehlman ET, Toth MJ, Gardner AW.	Poehlman ET	112	Ann Intern Med		14568863	01-11-1995	22-10-2003	97
9497388	Characterization of a cytosolic heat-shock protein-caveolin chaperone complex. Involvement in cholesterol trafficking.	1998	Uittenbogaard A, Ying Y, Smart EJ.	Uittenbogaard A	111	J Biol Chem		23457392	16-04-1998	05-03-2013	181
7541111	Reconstitution of hematopoiesis after high-dose chemotherapy by autologous progenitor cells generated ex vivo.	1995	Brugger W, Heimfeld S, Berenson RJ, Mertelsmann R, Kanz L.	Brugger W	107	N Engl J Med		11439953	03-08-1995	07-07-2001	72
15635462	Strategies for efficient production of heterologous proteins in Escherichia coli.	2005	Jana S, Deb JK.	Jana S	107	Appl Microbiol Biotechnol		24851854	07-01-2005	24-05-2014	114
16497925	Noncoding RNAs of trithorax response elements recruit Drosophila Ash1 to Ultrabithorax.	2006	Sanchez-Elsner T, Gou D, Kremmer E, Sauer F.	Sanchez-Elsner T	106	Science		24876484	25-02-2006	31-05-2014	101
16738545	Anti-apoptotic function of a microRNA encoded by the HSV-1 latency-associated transcript.	2006	Gupta A, Gartner JJ, Sethupathy P, Hatzigeorgiou AG, Fraser NW.	Gupta A	106	Nature		18235505	02-06-2006	01-02-2008	20
18953331	Generation of cell polarity in plants links endocytosis, auxin distribution and cell fate decisions.	2008	Dhonukshe P, Tanaka H, Goh T, Ebine K, MÌ_hÌ_nen AP, Prasad K, Blilou I, Geldner N, Xu J, Uemura T, Chory J, Ueda T, Nakano A, Scheres B, Friml J.	Dhonukshe P	105	Nature	N	25030176	28-10-2008	18-07-2014	70
19380445	Phase II study of the anti-insulin-like growth factor type 1 receptor antibody CP-751,871 in combination with paclitaxel and carboplatin in previously untreated, locally advanced, or metastatic non-small-cell lung cancer.	2009	Karp DD, Paz-Ares LG, Novello S, Haluska P, Garland L, Cardenal F, Blakely LJ, Eisenberg PD, Langer CJ, Blumenschein G Jr, Johnson FM, Green S, Gualberto A.	Karp DD	105	J Clin Oncol		23304713	22-04-2009	11-01-2013	45
20798047	Detection of MLV-related virus gene sequences in blood of patients with chronic fatigue syndrome and healthy blood donors.	2010	Lo SC, Pripuzova N, Li B, Komaroff AL, Hung GC, Wang R, Alter HJ.	Lo SC	105	Proc Natl Acad Sci U S A	N	22203980	28-08-2010	29-12-2011	16
7969447	Oligosaccharide ligands for NKR-P1 protein activate NK cells and cytotoxicity.	1994	Bezouska K, Yuen CT, O'Brien J, Childs RA, Chai W, Lawson AM, Drbal K, FiserovÌÁ A, PospÌ_sil M, Feizi T.	Bezouska K	102	Nature		23823725	10-11-1994	05-07-2013	227
9482945	New findings of the correlation between acupoints and corresponding brain cortices using functional MRI.	1998	Cho ZH, Chung SC, Jones JP, Park JB, Park HJ, Lee HJ, Wong EK, Min BI.	Cho ZH	102	Proc Natl Acad Sci U S A	N	16790551	16-04-1998	23-06-2006	100
11474113	Lysophosphatidylcholine as a ligand for the immunoregulatory receptor G2A.	2001	Kabarowski JH, Zhu K, Le LQ, Witte ON, Xu Y.	Kabarowski JH	102	Science		15653487	28-07-2001	18-01-2005	42
2161500	Identification by anti-idiotype antibodies of an intracellular membrane protein that recognizes a mammalian endoplasmic reticulum retention signal.	1990	Vaux D, Tooze J, Fuller S.	Vaux D	101	Nature		1448156	07-06-1990	26-11-1992	30
16170379	Promoter hypomethylation of the LINE-1 retrotransposable elements activates sense/antisense transcription and marks the progression of chronic myeloid leukemia.	2005	Roman-Gomez J, Jimenez-Velasco A, Agirre X, Cervantes F, Sanchez J, Garate L, Barrios M, Castillejo JA, Navarro G, Colomer D, Prosper F, Heiniger A, Torres A.	Roman-Gomez J	101	Oncogene		23388683	20-09-2005	08-02-2013	90
16675453	MicroRNA-155 regulates human angiotensin II type 1 receptor expression in fibroblasts.	2006	Martin MM, Lee EJ, Buckenberger JA, Schmittgen TD, Elton TS.	Martin MM	101	J Biol Chem		23690058	06-05-2006	22-05-2013	86
19892983	A type I-secreted, sulfated peptide triggers XA21-mediated innate immunity.	2009	Lee SW, Han SW, Sririyanum M, Park CJ, Seo YS, Ronald PC.	Lee SW	101	Science		24115421	07-11-2009	12-10-2013	48
12837248	The chromatin-remodeling complex WINAC targets a nuclear receptor to promoters and is impaired in Williams syndrome.	2003	Kitagawa H, Fujiki R, Yoshimura K, Mezaki Y, Uematsu Y, Matsui D, Ogawa S, Unno K, Okubo M, Tokita A, Nakagawa T, Ito T, Ishimi Y, Nagasawa H, Matsumoto T, Yanagisawa J, Kato S.	Kitagawa H	99	Cell		22464333	03-07-2003	03-04-2012	107
21925392	The noncoding RNA Mistral activates Hoxa6 and Hoxa7 expression and stem cell differentiation by recruiting MLL1 to chromatin.	2011	Bertani S, Sauer S, Bolotin E, Sauer F.	Bertani S	99	Mol Cell	N	25811052	20-09-2011	27-03-2015	43
17766684	The expression profile of micro-RNA in endometrium and endometriosis and the influence of ovarian steroids on their expression.	2007	Pan Q, Luo X, Toloubeydokhti T, Chegini N.	Pan Q	97	Mol Hum Reprod		25394916	04-09-2007	15-11-2014	88
19829383	DNA demethylation in hormone-induced transcriptional derepression.	2009	Kim MS, Kondo T, Takada I, Youn MY, Yamamoto Y, Takahashi S, Matsumoto T, Fujiyama S, Shirode Y, Yamaoka I, Kitagawa H, Takeyama K, Shibuya H, Ohtake F, Kato S.	Kim MS	97	Nature		22699624	16-10-2009	16-06-2012	32
11049912	Postoperative analgesic effects of celecoxib or rofecoxib after spinal fusion surgery.	2000	Reuben SS, Connelly NR.	Reuben SS	96	Anesth Analg		19299812	26-10-2000	21-03-2009	102
16424182	Pregnancy-associated exosomes and their modulation of T cell signaling.	2006	Taylor DD, Akyol S, Gercel-Taylor C.	Taylor DD	95	J Immunol		26048967	21-01-2006	07-06-2015	114
20414198	An endogenous, systemic RNAi pathway in plants.	2010	Dunoyer P, Brosnan CA, Schott G, Wang Y, Jay F, Alioua A, Himber C, Voinnet O.	Dunoyer P	95	EMBO J	N	26290336	24-04-2010	21-08-2015	65
7595697	High-dose chemotherapy with hematopoietic rescue as primary treatment for metastatic breast cancer: a randomized trial.	1995	Bezwoda WR, Seymour L, Dansey RD.	Bezwoda WR	94	J Clin Oncol		11387377	01-10-1995	02-06-2001	69
11700549	Genetic tracing reveals a stereotyped sensory map in the olfactory cortex.	2001	Zou Z, Horowitz LF, Montmayeur JP, Snapper S, Buck LB.	Zou Z	94	Nature		18322536	09-11-2001	07-03-2008	77
16949361	L-type Ca2+ channel facilitation mediated by phosphorylation of the beta subunit by CaMKII.	2006	Grueter CE, Abiria SA, Dzhura I, Wu Y, Ham AJ, Mohler PJ, Anderson ME, Colbran RJ.	Grueter CE	93	Mol Cell		26065042	05-09-2006	12-06-2015	107
17164336	RNA silencing of host transcripts by cauliflower mosaic virus requires coordinated action of the four Arabidopsis Dicer-like proteins.	2006	Moissiard G, Voinnet O.	Moissiard G	93	Proc Natl Acad Sci U S A	N	26216957	14-12-2006	29-07-2015	105
18024211	Validation of gene signatures that predict the response of breast cancer to neoadjuvant chemotherapy: a substudy of the EORTC 10994/BIG 00-01 clinical trial.	2007	Bonnefoi H, Potti A, Delorenzi M, Mauriac L, Campone M, Tubiana-Hulin M, Petit T, Rouanet P, Jassem J, Blot E, Becette V, Farmer P, AndrÌ© S, Acharya CR, Mukherjee S, Cameron D, Bergh J, Nevins JR, Iggo RD.	Bonnefoi H	93	Lancet Oncol		21277543	21-11-2007	01-02-2011	39
9492007	The Fas/Fas ligand pathway and Bcl-2 regulate T cell responses to model self and foreign antigens.	1998	Van Parijs L, Peterson DA, Abbas AK.	Van Parijs L	92	Immunity		19378493	10-03-1998	22-04-2009	135
22168642	CPAP for the metabolic syndrome in patients with obstructive sleep apnea.	2011	Sharma SK, Agrawal S, Damodaran D, Sreenivas V, Kadhiravan T, Lakshmy R, Jagia P, Kumar A.	Sharma SK	91	N Engl J Med		24171540	16-12-2011	01-11-2013	23
17470638	LKB1 and AMPK maintain epithelial cell polarity under energetic stress.	2007	Mirouse V, Swick LL, Kazgan N, St Johnston D, Brenman JE.	Mirouse V	89	J Cell Biol	Y	24165941	02-05-2007	30-10-2013	79
16840747	The effects of a monoclonal antibody directed against tumor necrosis factor-alpha in asthma.	2006	Erin EM, Leaker BR, Nicholson GC, Tan AJ, Green LM, Neighbour H, Zacharasiewicz AS, Turner J, Barnathan ES, Kon OM, Barnes PJ, Hansel TT.	Erin EM	88	Am J Respir Crit Care Med		21288870	15-07-2006	04-02-2011	56
17344217	MicroRNA miR-133 represses HERG K+ channel expression contributing to QT prolongation in diabetic hearts.	2007	Xiao J, Luo X, Lin H, Zhang Y, Lu Y, Wang N, Zhang Y, Yang B, Wang Z.	Xiao J	87	J Biol Chem		21961173	09-03-2007	01-10-2011	56
18394991	Elevated tRNA(iMet) synthesis can drive cell proliferation and oncogenic transformation.	2008	Marshall L, Kenneth NS, White RJ.	Marshall L	87	Cell		23230607	09-04-2008	12-12-2012	57
8633243	Synergistic activation of estrogen receptor with combinations of environmental chemicals.	1996	Arnold SF, Klotz DM, Collins BM, Vonier PM, Guillette LJ Jr, McLachlan JA.	Arnold SF	86	Science		9254413	07-06-1996	25-07-1997	14
10806476	Sphingosylphosphorylcholine is a ligand for ovarian cancer G-protein-coupled receptor 1.	2000	Xu Y, Zhu K, Hong G, Wu W, Baudhuin LM, Xiao Y, Damron DS.	Xu Y	86	Nat Cell Biol		16508674	12-05-2000	02-03-2006	71
12370229	Angiogenesis by implantation of peripheral blood mononuclear cells and platelets into ischemic limbs.	2002	Iba O, Matsubara H, Nozawa Y, Fujiyama S, Amano K, Mori Y, Kojima H, Iwasaka T.	Iba O	85	Circulation		23704253	09-10-2002	25-05-2013	129
10845910	Activated protein C reduces ischemia/reperfusion-induced renal injury in rats by inhibiting leukocyte activation.	2000	Mizutani A, Okajima K, Uchiba M, Noguchi T.	Mizutani A	84	Blood		23543458	14-06-2000	02-04-2013	156
